2019-04-09 14:50:26 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:26 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:26 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:26 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:26 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2019-04-09 14:50:26 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-09 14:50:26 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-09 14:50:26 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-09 14:50:27 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2019-04-09 14:50:27 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2019-04-09 14:50:27 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2019-04-09 14:50:27 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2019-04-09 14:50:27 install libgpg-error0:arm64 <none> 1.27-6
2019-04-09 14:50:27 status half-installed libgpg-error0:arm64 1.27-6
2019-04-09 14:50:27 status unpacked libgpg-error0:arm64 1.27-6
2019-04-09 14:50:27 status unpacked libgpg-error0:arm64 1.27-6
2019-04-09 14:50:27 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2019-04-09 14:50:27 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-09 14:50:27 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-09 14:50:27 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-09 14:50:27 install liblzma5:arm64 <none> 5.2.2-1.3
2019-04-09 14:50:27 status half-installed liblzma5:arm64 5.2.2-1.3
2019-04-09 14:50:28 status unpacked liblzma5:arm64 5.2.2-1.3
2019-04-09 14:50:28 status unpacked liblzma5:arm64 5.2.2-1.3
2019-04-09 14:50:28 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:28 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:28 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:28 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:28 install libncurses5:arm64 <none> 6.1-1ubuntu1
2019-04-09 14:50:28 status half-installed libncurses5:arm64 6.1-1ubuntu1
2019-04-09 14:50:28 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-04-09 14:50:28 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-04-09 14:50:28 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2019-04-09 14:50:28 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2019-04-09 14:50:28 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-04-09 14:50:28 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-04-09 14:50:29 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-09 14:50:29 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-09 14:50:30 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:31 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:31 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-09 14:50:31 install libpcre3:arm64 <none> 2:8.39-9
2019-04-09 14:50:31 status half-installed libpcre3:arm64 2:8.39-9
2019-04-09 14:50:31 status unpacked libpcre3:arm64 2:8.39-9
2019-04-09 14:50:31 status unpacked libpcre3:arm64 2:8.39-9
2019-04-09 14:50:31 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2019-04-09 14:50:31 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-09 14:50:31 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-09 14:50:31 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-09 14:50:31 install libselinux1:arm64 <none> 2.7-2build2
2019-04-09 14:50:31 status half-installed libselinux1:arm64 2.7-2build2
2019-04-09 14:50:32 status unpacked libselinux1:arm64 2.7-2build2
2019-04-09 14:50:32 status unpacked libselinux1:arm64 2.7-2build2
2019-04-09 14:50:32 install libsemanage-common:all <none> 2.7-2build2
2019-04-09 14:50:32 status half-installed libsemanage-common:all 2.7-2build2
2019-04-09 14:50:32 status unpacked libsemanage-common:all 2.7-2build2
2019-04-09 14:50:32 status unpacked libsemanage-common:all 2.7-2build2
2019-04-09 14:50:32 install libsemanage1:arm64 <none> 2.7-2build2
2019-04-09 14:50:32 status half-installed libsemanage1:arm64 2.7-2build2
2019-04-09 14:50:32 status unpacked libsemanage1:arm64 2.7-2build2
2019-04-09 14:50:32 status unpacked libsemanage1:arm64 2.7-2build2
2019-04-09 14:50:32 install libsepol1:arm64 <none> 2.7-1
2019-04-09 14:50:32 status half-installed libsepol1:arm64 2.7-1
2019-04-09 14:50:32 status unpacked libsepol1:arm64 2.7-1
2019-04-09 14:50:32 status unpacked libsepol1:arm64 2.7-1
